,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,786551295,Samsung Galaxy S8 Active 64GB No issues • Unlocked for any carrier • Charger • Warranty • Hablo español,229.99,Used (normal wear),"• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",6,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Chula Vista, CA",Chula Vista, CA,7 hours 
1,786454501,Samsung Galaxy S8+ Jet Black,150.0,Used (normal wear),32GB T MobilePhone is in great condition only minor cracks as seen in the picturesunlocked,3,Local pickup (28 miles away),No shipping INFO!,28.0,,,"San Diego, CA",San Diego, CA,9 hours 
2,786195319,Samsung galaxy S8 unlocked,290.0,Used (normal wear),pequeño detalle en pantalla pero ninguna falla en el teléfono.. ,2,Local pickup (25 miles away),No shipping INFO!,25.0,,,"San Diego, CA",San Diego, CA,1 day 
3,785795100,Samsung Galaxy S8 + plus any carrier,280.0,Used (normal wear),Samsung Galaxy S8 plus64GBAny carrierTrusted sellerGreat condition,7,Local pickup (26 miles away),No shipping INFO!,26.0,,,"San Diego, CA",San Diego, CA,1 day 
4,785574443,Samsung Galaxy S7 Edge 32Gb Factory Unlocked,220.0,Used (normal wear),We carry the Following Samsung Galaxy ModelsSamsung Galaxy S7  32Gb $140Samsung Galaxy S8 64gb $230Samsung Galaxy S8 Active $240Samsung Galaxy S8 plus 64Gb plus $280Samsung Galaxy S9 64Gb $300Samsung Galaxy S9 plus 64Gb $370Samsung Galaxy S10 128gb $550Samsung Galaxy S10 plus 128gb 650Samsung Galaxy Note 8 $330Samsung Galaxy Note 9 $475All phones have clean IMEI and are Factory Unlocked for Any Carrier,3,Local pickup (19 miles away),No shipping INFO!,19.0,,,"Chula Vista, CA",Chula Vista, CA,2 days 
5,785319296,Samsung Galaxy S8 - Unlocked,350.0,Used (normal wear),Good condition. Comes with box and new charger. ,1,Local pickup (5 miles away),No shipping INFO!,5.0,,,"San Diego, CA",San Diego, CA,2 days 
6,784601892,"Samsung galaxy S8,S8+,S9 unlocked",235.0,Reconditioned/Certified,"I have few of  Samsung S8,S8+ and S9  UNLOCKED work with any carrier ( T-Mobil, AT&T, Verizon, Metro PCS, Cricket, Boost and Sprint)  in (like new ) or ( mint) condition all original parts except some of them had back glass replaced , the screen is original no dark color, burn Lcd , dead pixels or shadow  S8 black 5qty available $235  eachS8 + black, silver, light purple $255 eachS9 black, blue(sold), pink 285 each Hit me up if you are interesting ",9,Local pickup (36 miles away),No shipping INFO!,36.0,,,"Fallbrook, CA",Fallbrook, CA,3 days 
7,784567658,Samsung Galaxy S8 plus unlocked,275.0,Used (normal wear),Clean imeiPhone onlyScreen had cracks and there is screen burn,2,Local pickup (15 miles away),No shipping INFO!,15.0,,,"San Diego, CA",San Diego, CA,4 days 
8,784203937,Samsung galaxy S8 Unlocked,349.0,Used (normal wear),"Mint Condition Works With any AT&T , Tmobile, Verizon, Cricket, Metro Network and Overseas.We have in stock, iPhone 6 - $150  | iPhone 7 - $249  | iPhone 7 Plus - $349iPhone 8 - $349  | iPhone 8 Plus - $449 Samsung S8 - $249 |   S8 Plus - $349Samsung S9 - $349 |   S9 Plus  - $399Samsung Note 8 - $349  |  Note 9 - $449 Comes with warranty Call us or stop by  Our store address :Payless Wireless6074 EL Cajon Blvd San Diego, CA - 92115",7,Local pickup (14 miles away),No shipping INFO!,14.0,,,"San Diego, CA",San Diego, CA,4 days 
9,783976669,Samsung Galaxy s8,300.0,Used (normal wear),Unlocked Samsung Galaxy s8 64gb ,1,Local pickup (14 miles away),No shipping INFO!,14.0,,,"San Diego, CA",San Diego, CA,5 days 
10,783348030,"Samsung Galaxy A20,metro pcs, brand new, nuevo en la caja",139.0,New (never used),"Samsung Galaxy a20 Brand new Nuevo Metro pcs $139Ignore s7, s8,s9,S10,pixel,I phone,A20, LG, Motorola, Android, j7, Coolpad",6,Local pickup (17 miles away),Ships for $10.99,17.0,,10.99,"San Diego, CA",San Diego, CA,6 days 
11,786542556,"Samsung Galaxy S8 Plus 64GB Like new, no issues • Factory unlocked, works with any carrier • Charger • Hablo español",309.99,Used (normal wear),"• 100% original, not refurbished, no ghost screen, optimal battery, no problems.• Factory unlocked, works with any company, you can do updates.• Charger and data cable.• Warranty.• Sorry no trades or buys.• Serious buyer, safe buy.• San ysidro/Chula Vista/Tijuana",6,Local pickup (20 miles away),No shipping INFO!,20.0,,,"Chula Vista, CA",Chula Vista, CA,7 hours 
12,786233054,"Samsung Galaxy S8. Verizon factory Unlocked, like new",230.0,New (never used),Payment accepted only over OfferUp. No cash no PayPal don’t waste your time. It will be shipped to you for only $3 nationwide next business day.Thanks in advance. ,2,No delivery INFO!,"Ships from Dearborn, MI for $3.29",,"Dearborn, MI",3.29,"Dearborn, MI",Dearborn, MI,22 hours 
13,785489897,SAMSUNG GALAXY S8,300.0,Used (normal wear),Galaxy S8 in like new condition.  Perfect screen with liquid protection.   Verizon unlocked.  Includes Mophie battery Juice Pack protective cover.  ,1,Local pickup (19 miles away),No shipping INFO!,19.0,,,"El Cajon, CA",El Cajon, CA,1 day 
14,786232898,"Samsung Galaxy S8. Verizon factory Unlocked, like new",230.0,New (never used),Payment accepted only over OfferUp. No cash no PayPal don’t waste your time. It will be shipped to you for only $3 nationwide next business day.Thanks in advance. ,2,No delivery INFO!,"Ships from Dearborn, MI for $3.29",,"Dearborn, MI",3.29,"Dearborn, MI",Dearborn, MI,22 hours 
