,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,iPhone X 256 GB UNLOCKED,425,2019-11-26 19:55,True,like new,7027841001,False,8.38149755343288
1,Buy new iphones XR X Xs Max plus iphone 7 8 9 11 pro plus note 9,0,2019-11-26 19:16,True,good,7027837718,True,16.87822244149898
2,Buy new iphones XR X Xs Max plus iphone 7 8 9 11 pro plus note 9,0,2019-11-26 18:22,True,good,7027835916,True,16.87822244149898
3,"iPhone X, Space Grey, 64GB",350,2019-11-26 17:04,True,good,7027816408,False,14.559748087341582
4,iPhone X 256GB Brand New,600,2019-11-26 16:49,True,new,7027802022,False,14.37831245773691
5,_iPHONE /Samsung BUYER!X/Xs'',0,2019-11-26 15:07,True,like new,7027731431,False,10.658264005575704
6,_iPHONE /Samsung BUYER!X/Xs'',0,2019-11-26 15:01,True,like new,7027731405,False,10.658264005575704
7,iPhone X,500,2019-11-26 15:01,True,Unknown,7027751624,False,22.405762171744858
8,===iPHONE 10 (X)===EXCELLENT COND=== 64GB===TMOBILE===14 months old===,550,2019-11-26 09:47,True,Unknown,7022245259,True,15.93832609823096
9,Firm Price! Brand New Case for iPhone X or XS,10,2019-11-26 09:28,True,new,7014301319,False,11.36474645482835
10,X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,0,2019-11-26 08:57,True,Unknown,7027421248,False,13.369987021648157
11,X--PASS code IPHONE TOP bUyeR%# CASSH4:'.GALAXY:,0,2019-11-26 08:26,True,Unknown,7027421210,False,13.369987021648157
12,"BUY**++iPhone X//// 256 Gig FACTORY\??UN LOCKED..,, NEEED///#@@",0,2019-11-26 08:20,True,excellent,7027409534,False,10.246047191510852
13,Silver iPhone X 256 gig always have a case Verizon network & unlocked,405,2019-11-26 04:47,True,like new,7027330242,True,23.247891137309747
14,iPhone X 256 GB UNLOCKED,525,2019-11-25 18:54,True,like new,7027203205,False,8.38149755343288
15,iPhone X,550,2019-11-25 17:38,True,good,7027207352,False,24.74078410915116
16,iPhone X 256 GB UNLOCKED,525,2019-11-25 17:19,True,like new,7025454464,True,8.38149755343288
17,FIRM PRICE! Brand New Premium Case for iPhone X or XS,15,2019-11-25 16:27,True,new,7009025027,False,11.36474645482835
18,iPhone X 256GB,500,2019-11-25 15:01,True,Unknown,7025869113,True,10.246047191510852
19,Slighlty cracked Glass Protector / negotiable,0,2019-11-25 14:38,True,Unknown,7010978542,False,16.093159241408223
20,Slighlty cracked Glass Protector / negotiable,0,2019-11-25 12:48,True,Unknown,7010978540,False,16.093159241408223
21,Apple iPhone X 64GB Black Unlocked,520,2019-11-25 12:24,True,like new,7027018431,False,9.243227078260857
22,New iPhone X 256GB,500,2019-11-25 09:32,True,new,7026878565,False,12.12631917530565
23,BUYRER%% Wan;Ted Phone iPHONE -X-8 Sealed iN BoX.,0,2019-11-25 09:25,True,Unknown,7014643839,False,10.524414242987824
24,BUYRER%% Wan;Ted Phone iPHONE -X-8 Sealed iN BoX.,0,2019-11-25 09:11,True,Unknown,7014643856,False,10.524414242987824
25,iPhone X,425,2019-11-24 19:14,True,Unknown,7026603129,False,19.09275185410241
26,LIFEPROOF FRE IPHONE X CASE BRAND NEW!!,60,2019-11-24 18:12,True,new,7023537820,False,12.026527656315686
27,iPhone X silver 256gb Perfect condition Still warranty Still warranty,405,2019-11-24 17:06,True,like new,7026501108,False,23.247891137309747
28,Sell me your Iphone X ! Top %^& BuyeR!,0,2019-11-24 14:47,True,like new,7026421521,False,10.658264005575704
29,Tip Top Shape batteries and ready to go,0,2019-11-24 11:15,True,Unknown,7026350045,True,13.369987021648157
30,Tip Top Shape batteries and ready to go,0,2019-11-24 11:11,True,Unknown,7026350055,True,13.369987021648157
31,iPhone X 64gb UNLOCKED One month old,480,2019-11-24 10:58,True,like new,7021537529,True,16.914785925425523
32,iPhone X 64gb Space Gray,400,2019-11-24 10:16,True,Unknown,7022848766,True,19.37488034516771
33,iPhone X 256,550,2019-11-24 08:36,True,Unknown,7017075704,False,4.913949050964844
34,FIRM PRICE! NEW Premium Red Case for iPhone X or XS,15,2019-11-24 05:06,True,new,7013102786,False,11.36474645482835
35,FIRM PRICE! NO Offers. NEW Case for iPhone X or XS,15,2019-11-24 05:06,True,new,7013107965,False,11.36474645482835
36,FIRM PRICE! Brand New Premium Case for iPhone X or XS,15,2019-11-24 05:03,True,new,7008178924,False,11.36474645482835
